,playedPositionsShort,teamRegionName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-DL-DR-ML-,"D(LR),M(L)",Italy,9,3,0,1,2,Leonardo Spinazzola,92329,Defender,276,Napoli,Italy,Serie A,6.708888889,536,1,0,102
-AMC-AMR-FW-,"AM(CR),FW",Italy,8,3,1,1,1,Paulo Dybala,114863,Forward,84,Roma,Italy,Serie A,6.70375,451,0,0,103
-DMC-,DMC,Italy,11,0,0,1,1,Youssouf Fofana,362470,Midfielder,80,AC Milan,Italy,Serie A,6.703636364,906,3,0,104
-MC-,M(C),Italy,10,2,0,1,1,Danilo Cataldi,118147,Midfielder,77,Lazio,Italy,Serie A,6.702,765,2,0,105
-DC-,D(C),Italy,10,2,0,0,0,Berat Djimsiti,100962,Defender,300,Atalanta,Italy,Serie A,6.698,783,1,0,106
-AMR-FW-,"AM(R),FW",Italy,11,1,0,4,0,Giovanni Simeone,133839,Forward,72,Torino,Italy,Serie A,6.697272727,760,0,0,107
-MC-,M(C),Italy,7,0,0,1,1,Toma Basic,343982,Midfielder,77,Lazio,Italy,Serie A,6.695714286,503,0,0,108
-DC-DL-MR-,"D(CL),M(R)",Italy,10,0,0,2,0,Filippo Terracciano,395782,Defender,2731,Cremonese,Italy,Serie A,6.694,891,2,0,109
-GK-,GK,Italy,11,0,1,0,0,Wladimiro Falcone,118163,Goalkeeper,79,Lecce,Italy,Serie A,6.693636364,990,1,0,110
-DC-DL-,D(CL),Italy,9,0,0,0,0,Alessio Romagnoli,118158,Defender,77,Lazio,Italy,Serie A,6.691111111,751,1,0,111
-AMC-AML-FW-,"AM(CL),FW",Italy,10,4,0,2,1,Kamaldeen Sulemana,422135,Forward,300,Atalanta,Italy,Serie A,6.682,488,2,0,112
-DC-,D(C),Italy,10,2,1,1,0,Jhon Lucumí,363653,Defender,71,Bologna,Italy,Serie A,6.677,770,2,0,113
-DL-ML-,"D(L),M(L)",Italy,7,1,0,0,1,Emanuele Valeri,343512,Defender,24341,Parma Calcio 1913,Italy,Serie A,6.672857143,498,0,0,114
-DMC-,DMC,Italy,8,1,0,1,0,Roberto Gagliardini,136279,Midfielder,76,Verona,Italy,Serie A,6.6725,575,3,0,115
-DC-DR-,D(CR),Italy,9,1,0,0,0,Fikayo Tomori,317507,Defender,80,AC Milan,Italy,Serie A,6.672222222,686,2,0,116
-DL-ML-MR-,"D(L),M(LR)",Italy,8,1,1,0,1,Hassane Kamara,239881,Defender,86,Udinese,Italy,Serie A,6.67,618,2,0,117
-AML-FW-,"AM(L),FW",Italy,10,5,0,2,3,Nikola Krstovic,404252,Forward,300,Atalanta,Italy,Serie A,6.664,489,1,0,118
-FW-,FW,Italy,11,0,0,2,0,Mateo Pellegrino,409250,Forward,24341,Parma Calcio 1913,Italy,Serie A,6.655454545,926,2,0,119
-DMC-,DMC,Italy,9,1,0,0,0,Remo Freuler,302691,Midfielder,71,Bologna,Italy,Serie A,6.654444444,686,2,0,120
-DC-DL-ML-,"D(CL),M(L)",Italy,10,1,0,0,0,Josh Doig,397024,Defender,2889,Sassuolo,Italy,Serie A,6.654,754,4,0,121
-DC-DR-MR-,"D(CR),M(R)",Italy,11,0,0,0,0,Pierre Kalulu,391836,Defender,87,Juventus,Italy,Serie A,6.653636364,990,0,0,122
-DR-MR-,"D(R),M(R)",Italy,10,2,0,0,1,Danilo Veiga,444938,Defender,79,Lecce,Italy,Serie A,6.653,762,3,0,123
-DR-MR-,"D(R),M(R)",Italy,8,2,1,0,1,Alessandro Zanoli,423515,Defender,86,Udinese,Italy,Serie A,6.65,538,0,0,124
-DMC-,DMC,Italy,11,0,0,0,0,Ylber Ramadani,319034,Midfielder,79,Lecce,Italy,Serie A,6.649090909,964,2,0,125
-MC-MR-,M(CR),Italy,9,2,0,0,0,Lucas da Cunha,379615,Midfielder,1290,Como,Italy,Serie A,6.647777778,665,1,0,126
-DMC-,DMC,Italy,11,1,1,0,0,Cesare Casadei,433219,Midfielder,72,Torino,Italy,Serie A,6.647272727,919,3,0,127
-DR-MR-,"D(R),M(R)",Italy,9,3,0,0,0,Raoul Bellanova,349184,Defender,300,Atalanta,Italy,Serie A,6.646666667,652,0,0,128
-MC-ML-MR-,M(CLR),Italy,9,4,0,0,1,Mehdi Léris,338073,Midfielder,777,Pisa,Italy,Serie A,6.644444444,476,0,0,129
-DL-DR-ML-MR-,"D(LR),M(LR)",Italy,8,1,0,0,1,Davide Zappacosta,141312,Midfielder,300,Atalanta,Italy,Serie A,6.64,648,1,0,130
-FW-MC-ML-MR-,"M(CLR),FW",Italy,9,1,0,1,1,Ruslan Malinovskyi,295456,Midfielder,278,Genoa,Italy,Serie A,6.637777778,612,5,0,131
-MC-,M(C),Italy,8,3,0,1,1,Samuele Ricci,372509,Midfielder,80,AC Milan,Italy,Serie A,6.6375,491,0,0,132
-DMC-,DMC,Italy,9,4,1,1,0,Billy Gilmour,381255,Midfielder,276,Napoli,Italy,Serie A,6.634444444,414,1,0,133
-DC-DL-DR-ML-MR-,"D(CLR),M(LR)",Italy,10,1,0,0,1,Adam Marusic,275698,Defender,77,Lazio,Italy,Serie A,6.634,773,1,0,134
-GK-,GK,Italy,10,0,1,0,0,Michele Di Gregorio,319696,Goalkeeper,87,Juventus,Italy,Serie A,6.632,900,1,0,135
-DR-MR-,"D(R),M(R)",Italy,11,2,0,1,0,Denzel Dumfries,322153,Defender,75,Inter,Italy,Serie A,6.631818182,723,1,0,136
-MC-,M(C),Italy,7,1,0,0,0,Lewis Ferguson,396971,Midfielder,71,Bologna,Italy,Serie A,6.625714286,535,1,0,137
-DL-,D(L),Italy,11,0,0,0,1,Antonino Gallo,382637,Defender,79,Lecce,Italy,Serie A,6.622727273,925,1,0,138
